-BEGIN HEADER-,,,,,,,,,,,
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data,,,,,,,,,,,
Dates (month/day/year): 04/26/2020 through 10/22/2020,,,,,,,,,,,
Location: Latitude  40.7412   Longitude -74.0398,,,,,,,,,,,
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = 102.19 meters   Site = na,,,,,,,,,,,
Climate zone: na (reference Briggs et al: http://www.energycodes.gov),,,,,,,,,,,
Value for missing model data cannot be computed or out of model availability range: -999,,,,,,,,,,,
Parameter(s):,,,,,,,,,,,
T2M_MAX MERRA2 1/2x1/2 Maximum Temperature at 2 Meters (C),,,,,,,,,,,
T2MDEW MERRA2 1/2x1/2 Dew/Frost Point at 2 Meters (C),,,,,,,,,,,
T2M MERRA2 1/2x1/2 Temperature at 2 Meters (C),,,,,,,,,,,
T2M_MIN MERRA2 1/2x1/2 Minimum Temperature at 2 Meters (C),,,,,,,,,,,
T2MWET MERRA2 1/2x1/2 Wet Bulb Temperature at 2 Meters (C),,,,,,,,,,,
T2M_RANGE MERRA2 1/2x1/2 Temperature Range at 2 Meters (C),,,,,,,,,,,
TS MERRA2 1/2x1/2 Earth Skin Temperature (C),,,,,,,,,,,
-END HEADER-,,,,,,,,,,,
LAT,LON,YEAR,MO,DY,T2M_RANGE,TS,T2MDEW,T2MWET,T2M_MAX,T2M_MIN,T2M
40.74121,-74.03979,2020,8,15,8.11,23.52,17.08,16.92,28.12,20.01,23.33
40.74121,-74.03979,2020,8,16,4.99,20.49,18.03,18.04,22.95,17.96,20.12
40.74121,-74.03979,2020,8,17,11.29,22.24,18.1,17.98,27.11,15.82,21.68
40.74121,-74.03979,2020,8,18,10.1,22.74,17.15,16.98,27.69,17.59,22.95
40.74121,-74.03979,2020,8,19,7.61,21.32,16.86,16.73,24.77,17.16,21.32
40.74121,-74.03979,2020,8,20,12.06,20.8,12.8,12.58,26.42,14.36,20.56
40.74121,-74.03979,2020,8,21,11.98,23.25,17.78,17.64,29.11,17.13,22.99
40.74121,-74.03979,2020,8,22,10.82,24.89,19.82,19.68,30.7,19.89,24.82
40.74121,-74.03979,2020,8,23,10.04,24.94,20.28,20.18,29.77,19.73,24.72
40.74121,-74.03979,2020,8,24,11.01,25.99,20.76,20.62,31.68,20.67,25.99
40.74121,-74.03979,2020,8,25,10.53,25.75,19.81,19.56,31.15,20.62,25.79
40.74121,-74.03979,2020,8,26,8.01,21.61,12.25,11.99,25.55,17.54,21.33
40.74121,-74.03979,2020,8,27,12.9,24.91,19.39,19.15,31.98,19.08,25.07
40.74121,-74.03979,2020,8,28,9.61,24.91,20.31,20.11,29.96,20.35,24.7
40.74121,-74.03979,2020,8,29,6.56,24.33,21.94,21.91,28.57,22.02,24.32
40.74121,-74.03979,2020,8,30,9.92,21.52,13.89,13.74,26.43,16.52,21.28
40.74121,-74.03979,2020,8,31,8.93,19.76,13.92,13.76,23.94,15.01,19.44
40.74121,-74.03979,2020,9,1,7.21,21.14,18.1,18.07,24.94,17.72,20.93
40.74121,-74.03979,2020,9,2,7.08,23.35,21.41,21.36,26.77,19.69,23.27
40.74121,-74.03979,2020,9,3,7.7,24.76,20.35,20.09,29.23,21.53,24.68
40.74121,-74.03979,2020,9,4,11.51,23.24,18.32,17.98,29.1,17.59,23.27
40.74121,-74.03979,2020,9,5,11.42,20.43,11.56,11.36,25.83,14.42,20.06
40.74121,-74.03979,2020,9,6,14.02,21.23,14.18,13.98,27.58,13.55,20.85
